域名	解析IP	开放端口	WEB服务器	网站状态
q2.baidu.com	112.34.111.212,112.34.111.213	-	-	-
q5.baidu.com	112.34.111.213,112.34.111.212	-	-	-
q1.baidu.com	112.34.111.213,112.34.111.212	-	-	-
q7.baidu.com	112.34.111.213,112.34.111.212	-	-	-
q8.baidu.com	112.34.111.212,112.34.111.213	-	-	-
r4.baidu.com	10.11.0.14	-	-	-
r8.baidu.com	10.11.0.18	-	-	-
r7.baidu.com	10.11.0.17	-	-	-
r5.baidu.com	10.11.0.15	-	-	-
r9.baidu.com	10.11.0.19	-	-	-
s2.baidu.com	10.46.167.37	-	-	-
t8.baidu.com	111.7.168.48	-	-	-
t7.baidu.com	111.7.168.48	-	-	-
t4.baidu.com	112.25.86.48	-	-	-
t9.baidu.com	120.241.70.48	-	-	-
tech.baidu.com	111.13.105.118,117.185.17.208,112.34.111.125	-	-	-
thailand.baidu.com	103.235.46.165	-	-	-
tp.baidu.com	10.42.4.66	-	-	-
tg.baidu.com	111.13.100.93	-	-	-
tiger.baidu.com	10.46.28.36	-	-	-
titan.baidu.com	10.99.31.41	-	-	-
tf.baidu.com	223.111.138.37	-	-	-
testlab.baidu.com	10.126.81.104	-	-	-
tn.baidu.com	10.44.66.5	-	-	-
tk.baidu.com	10.46.129.37	-	-	-
th.baidu.com	123.125.114.144,180.149.132.47,111.13.101.208,220.181.57.217	-	-	-
trinity.baidu.com	10.26.84.26	-	-	-
ts.baidu.com	61.135.162.116	-	-	-
tm.baidu.com	111.13.101.191	-	-	-
training.baidu.com	10.23.1.162	-	-	-
updates.baidu.com	10.26.109.19	-	-	-
ups.baidu.com	10.46.104.42	-	-	-
um.baidu.com	111.13.100.221	-	-	-
tx.baidu.com	10.208.6.174,10.208.6.173	-	-	-
ut.baidu.com	10.23.248.87	-	-	-
usa.baidu.com	107.180.84.128	-	-	-
uranus.baidu.com	10.57.8.220	-	-	-
venus.baidu.com	10.94.52.44	-	-	-
va.baidu.com	10.94.51.43	-	-	-
voice.baidu.com	112.34.111.90	-	-	-
vc.baidu.com	61.135.165.169	-	-	-
vi.baidu.com	10.42.4.183	-	-	-
wallet.baidu.com	112.34.111.53	-	-	-
vega.baidu.com	10.50.14.165,10.26.5.60	-	-	-
vpn.baidu.com	119.75.221.12	-	-	-
vie.baidu.com	111.13.101.73	-	-	-
wa.baidu.com	10.207.7.95	-	-	-
webserver.baidu.com	10.26.214.75	-	-	-
welcome.baidu.com	10.42.3.112	-	-	-
webdev.baidu.com	112.25.86.48	-	-	-
whois.baidu.com	123.125.114.172	-	-	-
white.baidu.com	111.13.100.150	-	-	-
work.baidu.com	10.42.8.38	-	-	-
ws.baidu.com	10.94.35.35	-	-	-
world.baidu.com	180.149.131.33	-	-	-
xi.baidu.com	180.97.34.175	-	-	-
yellow.baidu.com	111.13.101.29	-	-	-
xr.baidu.com	111.13.100.173	-	-	-
young.baidu.com	180.149.131.33	-	-	-
yt.baidu.com	111.13.101.51	-	-	-
zw.baidu.com	111.13.100.22,112.34.111.131	-	-	-
zeus.baidu.com	10.46.229.22	-	-	-
index.baidu.com	106.39.162.93,111.202.114.69	-	-	-
wangzhan.baidu.com	111.13.101.191	-	-	-
webapp.baidu.com	10.95.36.21	-	-	-
cpu.baidu.com	183.232.232.30	-	-	-
fanyi.baidu.com	112.34.111.72	-	-	-
zhanzhang.baidu.com	123.125.115.62	-	-	-
lvyou.baidu.com	111.13.105.40	-	-	-
next.baidu.com	111.13.101.14	-	-	-
pai.baidu.com	61.135.185.208	-	-	-
loudong.baidu.com	180.149.131.33	-	-	-
ceshi.baidu.com	10.26.109.19	-	-	-
top.baidu.com	111.13.100.91,111.13.100.92	-	-	-
wifi.baidu.com	117.185.17.95	-	-	-
dock.baidu.com	10.99.31.40	-	-	-
cloud.baidu.com	111.13.100.1	-	-	-
travel.baidu.com	111.13.105.40	-	-	-
hadoop.baidu.com	10.83.128.26	-	-	-
nginx.baidu.com	10.36.5.156	-	-	-
hack.baidu.com	10.26.5.178	-	-	-
poc.baidu.com	10.26.7.203	-	-	-
dba.baidu.com	10.92.116.26,10.58.159.36	-	-	-
job.baidu.com	111.13.100.18	-	-	-
you.baidu.com	111.13.105.40	-	-	-
ppt.baidu.com	117.185.16.78	-	-	-
word.baidu.com	119.75.222.180	-	-	-
bus.baidu.com	111.13.100.22	-	-	-
for.baidu.com	10.100.73.37	-	-	-
gif.baidu.com	180.149.131.33	-	-	-
desk.baidu.com	111.13.100.240	-	-	-
desktop.baidu.com	180.149.131.33	-	-	-
from.baidu.com	10.26.3.240,10.46.7.36,10.91.160.44,10.36.4.130,10.42.4.86	-	-	-
excel.baidu.com	10.94.81.168	-	-	-
other.baidu.com	180.149.131.33	-	-	-
like.baidu.com	202.108.23.107	-	-	-
wall.baidu.com	123.125.115.231	-	-	-
up.baidu.com	10.26.3.49,10.36.3.27	-	-	-
see.baidu.com	10.212.15.162	-	-	-
pp.baidu.com	112.34.111.247	-	-	-
people.baidu.com	180.149.131.33	-	-	-
just.baidu.com	123.125.112.68	-	-	-
face.baidu.com	112.34.111.253	-	-	-
life.baidu.com	111.13.101.56	-	-	-
plan.baidu.com	10.36.155.43	-	-	-
case.baidu.com	10.99.209.45	-	-	-
set.baidu.com	10.32.36.145	-	-	-
end.baidu.com	10.99.54.20	-	-	-
ask.baidu.com	10.58.222.200	-	-	-
family.baidu.com	10.42.6.19	-	-	-
act.baidu.com	223.111.138.48	-	-	-
mx2.baidu.com	61.135.163.62	-	-	-
mx1.baidu.com	220.181.50.185,61.135.165.120	-	-	-
mx3.baidu.com	61.135.162.61	-	-	-
enjoy.baidu.com	117.185.16.153	-	-	-
acc.baidu.com	10.48.46.62	-	-	-
history.baidu.com	111.13.100.18	-	-	-
friend.baidu.com	180.149.131.33	-	-	-
man.baidu.com	10.50.82.58	-	-	-
hit.baidu.com	111.13.100.18	-	-	-
heart.baidu.com	10.57.7.143,10.91.160.63	-	-	-
market.baidu.com	111.13.100.1	-	-	-
sdk.baidu.com	10.36.3.27,10.26.3.49	-	-	-
mark.baidu.com	10.42.174.14	-	-	-
cto.baidu.com	10.48.56.133	-	-	-
know.baidu.com	112.34.111.123	-	-	-
session.baidu.com	10.207.6.45	-	-	-
scan.baidu.com	10.58.119.76	-	-	-
gx.baidu.com	112.34.111.246	-	-	-
space.baidu.com	111.202.114.169,111.202.114.168	-	-	-
bar.baidu.com	117.185.17.57	-	-	-
we.baidu.com	180.149.131.33	-	-	-
way.baidu.com	10.100.72.45	-	-	-
hold.baidu.com	10.42.3.52	-	-	-
interest.baidu.com	111.13.105.27	-	-	-
follow.baidu.com	123.125.112.68	-	-	-
stand.baidu.com	10.36.7.221	-	-	-
course.baidu.com	112.34.111.124	-	-	-
company.baidu.com	111.13.105.117	-	-	-
meet.baidu.com	61.135.165.111	-	-	-
light.baidu.com	180.76.141.65	-	-	-
study.baidu.com	180.76.171.169	-	-	-
god.baidu.com	10.94.43.42,10.99.199.32	-	-	-
power.baidu.com	111.13.100.13	-	-	-
custom.baidu.com	61.135.185.121	-	-	-
cost.baidu.com	10.26.137.29	-	-	-
better.baidu.com	10.94.24.43	-	-	-
art.baidu.com	10.42.137.45	-	-	-
effect.baidu.com	10.57.13.144	-	-	-
measure.baidu.com	10.42.108.58	-	-	-
law.baidu.com	61.135.162.7,220.181.163.8	-	-	-
care.baidu.com	10.46.104.43	-	-	-
learn.baidu.com	10.42.7.161	-	-	-
common.baidu.com	10.50.82.58	-	-	-
society.baidu.com	117.185.17.208,111.13.105.118,112.34.111.125	-	-	-
rule.baidu.com	10.42.3.230	-	-	-
cover.baidu.com	183.232.231.209,117.185.16.252,112.34.111.37	-	-	-
dance.baidu.com	180.149.131.33	-	-	-
watch.baidu.com	111.13.100.18	-	-	-
sign.baidu.com	10.42.8.43	-	-	-
trade.baidu.com	111.13.105.27	-	-	-
morning.baidu.com	10.94.40.19	-	-	-
origin.baidu.com	10.50.14.165,10.26.5.60	-	-	-
unit.baidu.com	111.13.105.66	-	-	-
event.baidu.com	180.149.131.33	-	-	-
vote.baidu.com	111.13.100.18	-	-	-
wear.baidu.com	111.13.100.22,112.34.111.131	-	-	-
machine.baidu.com	10.81.32.152	-	-	-
quality.baidu.com	10.100.81.72	-	-	-
touch.baidu.com	111.13.105.38	-	-	-
growth.baidu.com	10.38.145.134	-	-	-
settle.baidu.com	10.42.7.116	-	-	-
knowledge.baidu.com	10.88.46.23	-	-	-
depend.baidu.com	10.48.32.136	-	-	-
season.baidu.com	10.99.69.41	-	-	-
clean.baidu.com	103.235.46.69	-	-	-
fit.baidu.com	119.75.222.30	-	-	-
film.baidu.com	180.149.131.33	-	-	-
scene.baidu.com	10.100.30.74	-	-	-
recommend.baidu.com	10.42.4.147	-	-	-
model.baidu.com	10.38.109.33	-	-	-
fly.baidu.com	10.99.25.43	-	-	-
rock.baidu.com	10.202.105.28	-	-	-
lady.baidu.com	111.13.105.118,112.34.111.125,117.185.17.208	-	-	-
oil.baidu.com	112.34.111.36	-	-	-
middle.baidu.com	112.34.111.131,111.13.100.22	-	-	-
bright.baidu.com	10.205.180.28	-	-	-
bridge.baidu.com	10.42.7.117	-	-	-
trip.baidu.com	111.13.105.40	-	-	-
sample.baidu.com	10.42.7.162	-	-	-
fast.baidu.com	10.48.32.110	-	-	-
behavior.baidu.com	123.125.112.192	-	-	-
bit.baidu.com	111.206.37.68	-	-	-
beat.baidu.com	180.149.131.33	-	-	-
captain.baidu.com	10.26.3.239,10.26.3.240,10.42.4.86	-	-	-
collection.baidu.com	10.128.230.52,10.151.111.36	-	-	-
solution.baidu.com	180.149.131.33	-	-	-
speech.baidu.com	117.185.17.222	-	-	-
fresh.baidu.com	10.42.4.219,10.57.8.26	-	-	-
taste.baidu.com	180.149.131.33	-	-	-
box.baidu.com	182.61.35.21	-	-	-
trust.baidu.com	112.34.111.209	-	-	-
fashion.baidu.com	117.185.17.208,111.13.105.118,112.34.111.125	-	-	-
baby.baidu.com	180.149.131.33	-	-	-
guard.baidu.com	10.46.11.30,10.42.4.229	-	-	-
jump.baidu.com	180.149.131.33	-	-	-
sky.baidu.com	10.46.104.43	-	-	-
stone.baidu.com	10.99.35.41	-	-	-
depth.baidu.com	10.42.6.176	-	-	-
risk.baidu.com	123.125.115.231	-	-	-
band.baidu.com	117.185.16.153	-	-	-
brain.baidu.com	111.13.105.66	-	-	-
ear.baidu.com	10.94.51.25	-	-	-
cup.baidu.com	10.226.71.37	-	-	-
suggestion.baidu.com	111.13.100.157,111.13.100.162	-	-	-
swim.baidu.com	10.91.160.112	-	-	-
chain.baidu.com	180.149.133.175	-	-	-
star.baidu.com	202.106.2.53	-	-	-
factory.baidu.com	111.206.47.149,111.206.47.154	-	-	-
rent.baidu.com	123.59.190.206	-	-	-
wise.baidu.com	10.202.6.122	-	-	-
safety.baidu.com	180.149.131.33	-	-	-
grain.baidu.com	10.42.4.246	-	-	-
insurance.baidu.com	117.185.17.208,112.34.111.125,111.13.105.118	-	-	-
fun.baidu.com	117.185.16.214,111.13.82.68	-	-	-
wisdom.baidu.com	10.91.160.134	-	-	-
tip.baidu.com	10.48.40.18	-	-	-
storm.baidu.com	10.26.26.238	-	-	-
breathe.baidu.com	10.42.7.16	-	-	-
fate.baidu.com	111.13.101.29	-	-	-
leaf.baidu.com	10.36.4.214	-	-	-
pipe.baidu.com	117.185.17.159	-	-	-
translate.baidu.com	220.181.57.217,111.13.101.208,123.125.114.144,220.181.57.216	-	-	-
ticket.baidu.com	10.65.211.31	-	-	-
cap.baidu.com	220.181.57.166,111.13.100.150,123.125.115.174,123.125.115.209	-	-	-
idle.baidu.com	10.26.138.41	-	-	-
blade.baidu.com	10.202.6.186	-	-	-
bow.baidu.com	112.25.86.48	-	-	-
christmas.baidu.com	180.149.131.33	-	-	-
shield.baidu.com	103.235.46.69	-	-	-
thunder.baidu.com	10.57.167.58	-	-	-
axe.baidu.com	123.125.65.230	-	-	-
elastic.baidu.com	111.206.37.160	-	-	-
scent.baidu.com	10.81.211.74,10.36.7.221	-	-	-
framework.baidu.com	10.38.109.18	-	-	-
ray.baidu.com	10.94.52.44	-	-	-
mat.baidu.com	10.48.22.12	-	-	-
photography.baidu.com	10.95.102.45	-	-	-
notebook.baidu.com	10.199.28.35	-	-	-
approval.baidu.com	10.57.13.236	-	-	-
building.baidu.com	180.76.142.147	-	-	-
flight.baidu.com	111.13.100.205	-	-	-
learning.baidu.com	112.34.111.124	-	-	-
impulse.baidu.com	10.65.13.103	-	-	-
its.baidu.com	10.48.30.110	-	-	-
has.baidu.com	10.32.64.201,10.86.53.34	-	-	-
sat.baidu.com	10.58.102.37	-	-	-
ideas.baidu.com	172.18.116.93	-	-	-
writing.baidu.com	180.149.131.33	-	-	-
shot.baidu.com	10.42.4.219,10.57.8.26	-	-	-
analysis.baidu.com	10.36.7.221,10.81.211.74	-	-	-
cars.baidu.com	183.232.231.25,111.13.100.212	-	-	-
civil.baidu.com	112.34.111.125,111.13.105.118,117.185.17.208	-	-	-
rules.baidu.com	180.101.212.24,183.232.232.53,123.125.115.231	-	-	-
mission.baidu.com	117.185.16.247	-	-	-
platform.baidu.com	10.91.161.75	-	-	-
jr.baidu.com	111.13.101.247	-	-	-
friday.baidu.com	10.65.24.130	-	-	-
process.baidu.com	10.42.4.153	-	-	-
issue.baidu.com	10.65.211.71	-	-	-
kid.baidu.com	180.149.131.33	-	-	-
roman.baidu.com	10.36.5.232	-	-	-
artist.baidu.com	180.76.183.17,180.76.141.217	-	-	-
inner.baidu.com	10.208.7.53,10.212.7.16,10.212.7.17,10.26.7.118,10.65.211.21,10.208.7.52	-	-	-
congo.baidu.com	10.50.14.165,10.26.5.60	-	-	-
hudson.baidu.com	10.46.126.23	-	-	-
player.baidu.com	111.202.114.114	-	-	-
moments.baidu.com	180.149.131.33	-	-	-
driver.baidu.com	183.232.231.25,111.13.100.212	-	-	-
creative.baidu.com	111.202.114.182	-	-	-
measures.baidu.com	10.26.5.60,10.50.14.165	-	-	-
sports.baidu.com	112.34.111.125,111.13.105.118,117.185.17.208	-	-	-
bonds.baidu.com	111.13.105.118,112.34.111.125,117.185.17.208	-	-	-
traffic.baidu.com	10.242.15.216	-	-	-
models.baidu.com	10.13.100.40	-	-	-
opera.baidu.com	10.40.8.31	-	-	-
fund.baidu.com	112.34.111.125,111.13.105.118,117.185.17.208	-	-	-
target.baidu.com	10.94.49.37	-	-	-
watson.baidu.com	10.211.6.64	-	-	-
goal.baidu.com	180.76.153.241	-	-	-
culture.baidu.com	180.149.131.33	-	-	-
item.baidu.com	10.211.6.78	-	-	-
create.baidu.com	111.13.105.153	-	-	-
mama.baidu.com	111.13.100.22,112.34.111.131	-	-	-
element.baidu.com	10.50.14.165,10.26.5.60	-	-	-
display.baidu.com	10.46.112.16	-	-	-
trend.baidu.com	111.13.101.191	-	-	-
atlantic.baidu.com	10.50.14.165,10.26.5.60	-	-	-
prime.baidu.com	10.99.54.21	-	-	-
kate.baidu.com	10.36.7.221,10.81.211.74	-	-	-
talent.baidu.com	112.34.111.181	-	-	-
holmes.baidu.com	10.91.160.66	-	-	-
focus.baidu.com	10.50.13.243,10.57.13.25	-	-	-
devices.baidu.com	202.106.2.62	-	-	-
atom.baidu.com	10.26.25.78	-	-	-
survey.baidu.com	202.108.22.67	-	-	-
scholarship.baidu.com	202.106.2.53	-	-	-
football.baidu.com	10.81.211.74,10.36.7.221	-	-	-
asset.baidu.com	10.44.84.74	-	-	-
assess.baidu.com	10.65.211.34	-	-	-
authorize.baidu.com	10.42.7.145	-	-	-
cater.baidu.com	111.13.100.230,111.13.105.172	-	-	-
bubble.baidu.com	111.206.37.238	-	-	-
graph.baidu.com	112.34.111.90	-	-	-
gravity.baidu.com	10.206.7.100	-	-	-
innovation.baidu.com	180.76.147.153	-	-	-
norm.baidu.com	10.100.48.56	-	-	-
predict.baidu.com	10.73.218.24	-	-	-
react.baidu.com	10.42.4.219,10.57.8.26	-	-	-
publish.baidu.com	123.125.115.62	-	-	-
render.baidu.com	112.34.111.131,111.13.100.22	-	-	-
solar.baidu.com	10.99.54.20	-	-	-
topic.baidu.com	123.125.112.68	-	-	-
verify.baidu.com	123.125.114.156	-	-	-
bench.baidu.com	10.81.11.135	-	-	-
pat.baidu.com	10.99.16.57	-	-	-
candidate.baidu.com	117.185.17.97,202.106.2.54,106.39.162.252	-	-	-
finance.baidu.com	117.185.17.208,112.34.111.125,111.13.105.118	-	-	-
presents.baidu.com	10.42.3.56	-	-	-
campus.baidu.com	180.76.155.81	-	-	-
alert.baidu.com	180.149.133.216	-	-	-
loans.baidu.com	111.13.105.54	-	-	-
promote.baidu.com	123.125.115.104,111.13.100.167	-	-	-
evaluation.baidu.com	10.46.131.137	-	-	-
counter.baidu.com	111.13.100.91,111.13.100.92	-	-	-
composer.baidu.com	10.26.26.227,10.26.26.226	-	-	-
velocity.baidu.com	119.75.222.175	-	-	-
utility.baidu.com	123.125.114.130	-	-	-
tasks.baidu.com	119.75.219.41,220.181.57.42	-	-	-
entertainment.baidu.com	112.34.111.125,111.13.105.118,117.185.17.208	-	-	-
jet.baidu.com	183.232.231.17,183.232.231.18	-	-	-
commander.baidu.com	10.65.211.38,10.36.5.170	-	-	-
entry.baidu.com	111.13.100.91,111.13.100.92	-	-	-
promotion.baidu.com	111.13.100.150	-	-	-
legend.baidu.com	10.26.3.240,10.26.3.239,10.42.4.86	-	-	-
label.baidu.com	10.42.4.63	-	-	-
trading.baidu.com	111.13.105.27	-	-	-
giant.baidu.com	10.16.82.58	-	-	-
radar.baidu.com	10.57.8.26,10.42.4.219	-	-	-
pip.baidu.com	10.48.195.48	-	-	-
bid.baidu.com	180.149.131.33	-	-	-
insight.baidu.com	111.202.114.141,106.39.162.158	-	-	-
di.baidu.com	111.13.100.203	-	-	-
chart.baidu.com	111.206.37.119	-	-	-
sampling.baidu.com	10.40.71.205	-	-	-
trends.baidu.com	180.97.104.12	-	-	-
conversion.baidu.com	10.91.161.117	-	-	-
melody.baidu.com	10.26.7.79,10.36.7.197	-	-	-
shu.baidu.com	10.195.6.219	-	-	-
allen.baidu.com	10.57.8.26,10.42.4.219	-	-	-
pioneer.baidu.com	180.149.131.33	-	-	-
boss.baidu.com	10.36.7.192,10.26.7.246	-	-	-
100.baidu.com	180.149.131.33	-	-	-
1111.baidu.com	183.232.231.248,111.13.100.239	-	-	-
123.baidu.com	111.13.100.92,111.13.100.91	-	-	-
1212.baidu.com	183.232.231.248,111.13.100.239	-	-	-
365.baidu.com	180.149.131.33	-	-	-
404.baidu.com	10.36.7.221,10.81.211.74	-	-	-
adata.baidu.com	10.36.253.93	-	-	-
adidas.baidu.com	180.149.131.33	-	-	-
aijia.baidu.com	111.13.105.54	-	-	-
alarm.baidu.com	180.149.133.216	-	-	-
alexa.baidu.com	10.46.139.63	-	-	-
album.baidu.com	112.34.111.247	-	-	-
allinone.baidu.com	10.48.31.86	-	-	-
antispam.baidu.com	10.42.157.58,10.42.158.57	-	-	-
antiddos.baidu.com	10.57.225.53	-	-	-
anquanbao.baidu.com	58.211.137.244	-	-	-
api.erp.baidu.com	10.42.7.17	-	-	-
api.media.baidu.com	111.13.100.22,112.34.111.131	-	-	-
api.m.baidu.com	111.13.100.92,111.13.100.91	-	-	-
apitest.baidu.com	10.99.29.34	-	-	-
apptest.baidu.com	10.99.39.38	-	-	-
appweb.baidu.com	182.61.62.50	-	-	-
appdev.baidu.com	10.42.3.11	-	-	-
appdata.baidu.com	10.57.7.22	-	-	-
assets.baidu.com	10.214.34.19	-	-	-
audit.baidu.com	10.42.3.128	-	-	-
audio.baidu.com	123.125.65.59	-	-	-
awww.baidu.com	119.75.218.11	-	-	-
avatar.baidu.com	10.26.137.29	-	-	-
baike.baidu.com	111.13.100.160,112.34.111.122,112.34.111.121	-	-	-
baili.web.baidu.com	10.48.30.87	-	-	-
baiyi.baidu.com	111.13.105.122,117.185.17.192	-	-	-
banjia.baidu.com	10.23.244.216	-	-	-
baobao.baidu.com	111.13.100.13	-	-	-
baiwen.baidu.com	180.149.131.33	-	-	-
bangbang.baidu.com	111.13.101.29	-	-	-
bailiwanggou.web.baidu.com	10.48.30.87	-	-	-
bangzhu.baidu.com	112.34.111.183,112.80.255.39,112.80.255.43,117.185.16.213,117.185.16.230,180.97.33.42,180.97.36.81,180.149.144.165,180.149.144.166,202.106.2.77,202.106.2.78,112.34.111.18	-	-	-
bama.baidu.com	111.13.100.92,111.13.100.91	-	-	-
banner.baidu.com	117.185.17.93	-	-	-
bbs.pc.baidu.com	223.111.138.48	-	-	-
beifen.baidu.com	10.42.7.54	-	-	-
beian.baidu.com	111.13.104.14	-	-	-
bestchange.web.baidu.com	10.48.30.87	-	-	-
bdtg.baidu.com	111.13.100.69	-	-	-
bike.baidu.com	111.13.100.160,112.34.111.122,112.34.111.121	-	-	-
bigdata.baidu.com	10.91.161.88	-	-	-
bizhi.baidu.com	112.80.255.25,123.125.115.171	-	-	-
bjidc.baidu.com	220.181.38.70	-	-	-
blcx.web.baidu.com	10.48.30.87	-	-	-
brand.baidu.com	117.185.16.100,111.13.100.98	-	-	-
browser.baidu.com	103.235.46.26	-	-	-
c.my.baidu.com	111.13.100.240	-	-	-
caifu.baidu.com	123.125.115.167	-	-	-
cang.baidu.com	111.13.105.83	-	-	-
caigou.baidu.com	183.232.232.58,115.239.211.32,153.37.235.60	-	-	-
caijing.baidu.com	111.13.105.118,112.34.111.125,117.185.17.208	-	-	-
caipiao.baidu.com	223.111.138.48	-	-	-
callback.baidu.com	111.13.100.150	-	-	-
caiwu.baidu.com	111.13.105.113	-	-	-
carnavi.baidu.com	117.185.16.233,111.13.100.223	-	-	-
cartoon.baidu.com	111.13.101.221	-	-	-
ceping.baidu.com	10.73.191.15	-	-	-
chexian.baidu.com	202.108.23.198,202.108.23.199	-	-	-
chou.baidu.com	10.26.209.25	-	-	-
chongwu.baidu.com	180.97.34.232	-	-	-
chunjie.baidu.com	117.185.16.15	-	-	-
chunyun.baidu.com	183.232.231.25,111.13.100.212	-	-	-
chuangyi.baidu.com	111.13.100.150	-	-	-
chunwan.baidu.com	111.13.12.115	-	-	-
cloudtest.baidu.com	10.105.97.49	-	-	-
cms.m.baidu.com	10.94.29.22	-	-	-
comic.baidu.com	10.65.45.219	-	-	-
copyright.baidu.com	220.181.7.199	-	-	-
cpadmin.baidu.com	10.46.206.53	-	-	-
cpro.baidu.com	183.232.231.107	-	-	-
crawler.baidu.com	10.83.128.203	-	-	-
cs.web.baidu.com	10.48.30.87	-	-	-
csadmin.baidu.com	10.16.82.196	-	-	-
dangjian.baidu.com	180.76.133.88	-	-	-
daogou.baidu.com	111.13.100.150	-	-	-
daohang.baidu.com	111.13.100.232	-	-	-
darwin.baidu.com	10.95.44.43	-	-	-
dashboard.baidu.com	10.42.132.62,10.26.21.23	-	-	-
daping.baidu.com	111.13.100.203	-	-	-
dayu.baidu.com	10.99.27.31	-	-	-
daxue.baidu.com	180.149.131.33	-	-	-
dating.baidu.com	111.13.101.51	-	-	-
dcdn.baidu.com	10.207.6.117	-	-	-
ddos.baidu.com	10.57.225.53	-	-	-
dengta.baidu.com	111.13.101.29	-	-	-
devops.baidu.com	10.26.26.238	-	-	-
dfapi.baidu.com	10.42.7.111,10.36.3.57	-	-	-
dhhz.web.baidu.com	10.48.30.87	-	-	-
dianying.baidu.com	117.185.17.40	-	-	-
dict.baidu.com	111.206.37.42,111.206.37.45,112.34.111.59,180.149.131.197,220.181.57.39,111.13.100.161	-	-	-
ding.baidu.com	10.42.3.14	-	-	-
dianping.baidu.com	183.232.231.155,111.13.105.31	-	-	-
dingdan.baidu.com	61.135.185.175	-	-	-
diary.baidu.com	111.13.100.240	-	-	-
dhub.baidu.com	10.26.5.60,10.50.14.165	-	-	-
diya.baidu.com	111.13.105.54	-	-	-
dj8.baidu.com	111.13.101.73	-	-	-
dj2.baidu.com	111.13.101.73	-	-	-
dnshk.baidu.com	10.242.15.68	-	-	-
dongman.baidu.com	10.65.45.219	-	-	-
dota.baidu.com	10.26.25.224	-	-	-
druid.baidu.com	10.195.7.33	-	-	-
duanxin.baidu.com	112.34.111.108	-	-	-
dubbo.baidu.com	10.46.11.129	-	-	-
dump.baidu.com	10.242.15.28	-	-	-
ebank.baidu.com	172.22.6.246	-	-	-
eapp.baidu.com	111.13.105.41	-	-	-
elearning.baidu.com	10.42.7.161	-	-	-
erp1.baidu.com	10.199.39.35	-	-	-
f10.baidu.com	112.25.86.48	-	-	-
f11.baidu.com	112.25.86.48,111.1.52.48	-	-	-
f12.baidu.com	112.25.86.48	-	-	-
fang.baidu.com	111.13.105.54	-	-	-
fangwu.baidu.com	111.13.105.167,202.106.2.34,106.39.162.229	-	-	-
fankui.baidu.com	10.48.38.33	-	-	-
fenci.baidu.com	10.95.180.13	-	-	-
fenxiang.baidu.com	112.34.111.108	-	-	-
font.baidu.com	111.13.100.150	-	-	-
freevpn.baidu.com	172.19.47.45	-	-	-
fuli.baidu.com	111.202.114.114	-	-	-
fuwu.baidu.com	111.13.101.218	-	-	-
g15.baidu.com	111.13.12.213	-	-	-
g14.baidu.com	111.13.12.213	-	-	-
galaxy.baidu.com	10.81.11.241	-	-	-
g12.baidu.com	111.13.12.213	-	-	-
g10.baidu.com	111.13.12.213	-	-	-
g11.baidu.com	111.13.12.213	-	-	-
g13.baidu.com	111.13.12.213	-	-	-
gaokao.baidu.com	112.34.111.124	-	-	-
gateway2.baidu.com	172.16.0.1	-	-	-
geci.baidu.com	180.76.141.217	-	-	-
gitlab.baidu.com	10.44.64.103	-	-	-
gongyi.baidu.com	202.106.2.54,117.185.17.97,106.39.162.252	-	-	-
gongju.baidu.com	10.36.87.37	-	-	-
gouwu.baidu.com	111.13.100.13	-	-	-
gonglue.baidu.com	112.34.111.124	-	-	-
guanggao.baidu.com	10.23.3.99	-	-	-
guahao.baidu.com	111.13.105.56	-	-	-
guanwang.baidu.com	112.34.111.209	-	-	-
guanxing.baidu.com	10.94.40.19	-	-	-
gw2.baidu.com	172.16.0.1	-	-	-
goto.baidu.com	10.81.211.74,10.36.7.221	-	-	-
gupiao.baidu.com	111.13.105.27	-	-	-
gushi.baidu.com	111.13.105.27	-	-	-
hanyu.baidu.com	112.34.111.222,117.185.17.218	-	-	-
hao123.baidu.com	111.13.100.2	-	-	-
halo.baidu.com	10.48.40.22	-	-	-
haoma.baidu.com	117.185.17.52	-	-	-
hezi.baidu.com	10.58.222.78	-	-	-
hezuo.baidu.com	10.91.160.235	-	-	-
hiphotos.baidu.com	223.112.198.48	-	-	-
hongyan.baidu.com	112.34.112.34,111.13.100.207,111.206.37.44	-	-	-
hongbao.baidu.com	61.135.185.175	-	-	-
hoteltest.baidu.com	111.13.101.78	-	-	-
htadmin.baidu.com	112.34.111.142	-	-	-
huaiyun.baidu.com	111.13.100.13	-	-	-
huan.baidu.com	111.13.101.219	-	-	-
huayu.baidu.com	119.97.149.144	-	-	-
huiyi.baidu.com	10.42.5.67	-	-	-
hunter.baidu.com	10.36.3.27,10.26.3.49	-	-	-
hunqing.baidu.com	117.185.16.252,183.232.231.209,112.34.111.37	-	-	-
hunjia.baidu.com	111.13.100.18	-	-	-
huoban.baidu.com	180.149.131.33	-	-	-
huiyuan.baidu.com	106.39.162.104	-	-	-
hybrid.baidu.com	117.185.16.247	-	-	-
icafe.baidu.com	10.65.211.71	-	-	-
idata.baidu.com	10.50.14.165,10.26.5.60	-	-	-
idol.baidu.com	111.13.100.18	-	-	-
iknow.baidu.com	111.13.100.13	-	-	-
ihome.baidu.com	111.13.12.181	-	-	-
ilink.baidu.com	10.57.16.22	-	-	-
imdb.baidu.com	10.58.45.38	-	-	-
imax.baidu.com	10.40.31.12	-	-	-
